Zip,Median,Pop
6058,69160,1787
6060,103451,2568
6061,80718,169
6062,64756,17715
6063,87656,3285
6065,41049,413
6066,64308,29219
6067,73415,19709
6068,63481,1612
6069,70104,2535
6070,113662,15104
6071,38226,4140
6073,122539,5651
6074,89054,25705
6076,67166,12659
6078,88786,12413
6081,73387,1381
6082,69603,44654
6084,99136,15067
6085,80443,7276
6088,56500,4936
6089,113010,2813
6090,103971,1232
6092,132753,4203
6093,91401,3322
6095,78615,29079
6096,61164,12498
6098,60975,12426
6103,78380,1410
6105,30369,19392
6106,28397,39902
6107,109321,18786
6108,45956,24307
6109,75131,26668
6110,60017,12650
6111,68426,30562
6112,33646,22879
6114,32542,27449
6117,98210,17267
6118,54927,26956
